20181210 010200;2620.5;2621.75;2620.5;2621;10
20181210 010300;2621;2621;2620;2620;5
20181210 010400;2620.25;2620.25;2620.25;2620.25;2
20181210 010500;2619.75;2620.25;2619.75;2620.25;5
20181210 010600;2620;2620;2620;2620;1
20181210 010700;2620.25;2620.5;2619.75;2620.5;5
20181210 010800;2619.75;2619.75;2619.5;2619.5;7
20181210 011000;2620;2620.25;2620;2620.25;2
20181210 011100;2620;2620.5;2619.75;2620;5
20181210 011200;2620.75;2621.5;2620.75;2621.5;7
20181210 011300;2621;2621;2621;2621;1
20181210 011400;2621;2621;2621;2621;10
20181210 011700;2621;2621;2620.25;2620.5;20
20181210 011800;2620.75;2621;2620.5;2621;58
20181210 011900;2621;2621.75;2621;2621.75;8
20181210 012000;2621.75;2621.75;2621.5;2621.5;8
20181210 012100;2621.5;2621.75;2621.5;2621.75;4
20181210 012200;2620;2620;2619.5;2619.5;16
20181210 012300;2619.75;2620.25;2619.75;2620;16
20181210 012400;2620.25;2620.25;2620.25;2620.25;6
20181210 012600;2621.25;2621.25;2621;2621;3
20181210 012700;2622.5;2624.5;2622.5;2624.5;8
20181210 012800;2624.5;2624.5;2623.75;2623.75;7
20181210 012900;2623.75;2624;2623.75;2624;7
20181210 013000;2624;2624;2623.5;2623.5;7
20181210 013100;2623.5;2623.5;2622;2622;5
20181210 013200;2620.25;2620.25;2620;2620;2
20181210 013400;2622.5;2622.5;2621.25;2621.75;18
20181210 013500;2621.5;2621.5;2621.25;2621.25;3
20181210 013600;2621.5;2621.5;2621;2621;11
20181210 013900;2621.5;2621.5;2621.5;2621.5;4
20181210 014000;2620.75;2620.75;2620.75;2620.75;1
20181210 014100;2620.75;2621.25;2620.75;2620.75;3
20181210 014200;2620.25;2620.75;2620.25;2620.5;8
20181210 014300;2621.25;2621.5;2621.25;2621.5;13
20181210 014400;2622;2622.25;2622;2622.25;10
20181210 014500;2622.25;2622.25;2622.25;2622.25;1
20181210 014700;2624;2624;2624;2624;2
20181210 014800;2623.75;2624.5;2623.75;2624.5;11
20181210 014900;2624.5;2624.5;2624.25;2624.25;2
20181210 015000;2623.5;2623.5;2623.5;2623.5;3
20181210 015100;2623.25;2623.75;2623.25;2623.75;3
20181210 015200;2624;2624.25;2624;2624.25;2
20181210 015300;2624.5;2624.5;2624.5;2624.5;1
20181210 015400;2625;2625;2625;2625;4
20181210 015600;2624.25;2624.25;2624.25;2624.25;2
20181210 015700;2624.25;2624.25;2624.25;2624.25;1
20181210 020000;2623.5;2623.5;2623.5;2623.5;1
20181210 020300;2624;2624.5;2624;2624.5;5
20181210 020400;2624.25;2624.75;2624.25;2624.75;4
20181210 020500;2623.5;2623.5;2622.25;2622.25;7
20181210 020700;2622.5;2622.5;2622.5;2622.5;1
20181210 020800;2621.5;2622.25;2621.5;2622.25;33
20181210 020900;2621.75;2621.75;2621.75;2621.75;4
20181210 021000;2621.5;2621.5;2621.5;2621.5;3
20181210 021200;2620.75;2621.25;2620.75;2621.25;10
20181210 021300;2621;2621;2621;2621;2
20181210 021700;2620.75;2620.75;2620.75;2620.75;2
20181210 021800;2620.5;2620.5;2620.5;2620.5;2
20181210 021900;2620;2620;2620;2620;5
20181210 022000;2619.75;2619.75;2618.75;2618.75;6
20181210 022100;2618.25;2618.25;2618;2618;3
20181210 022300;2618.5;2619;2618.5;2619;5
20181210 022500;2618;2618;2617.75;2617.75;6
20181210 022600;2617.25;2617.25;2617;2617;4
20181210 022700;2617.75;2617.75;2617.75;2617.75;1
20181210 022800;2618.25;2618.5;2618.25;2618.25;5
20181210 023100;2616.75;2616.75;2616.75;2616.75;3
20181210 023200;2617;2617;2617;2617;11
20181210 023300;2616.5;2617.5;2615.75;2617.5;39
20181210 023400;2617;2617;2616.75;2616.75;3
20181210 023500;2617.25;2617.25;2617.25;2617.25;2
20181210 023600;2616.75;2616.75;2616.75;2616.75;1
20181210 023700;2616.75;2616.75;2616.25;2616.25;3
20181210 023900;2617;2617;2617;2617;2
20181210 024000;2617.75;2618.5;2617.75;2618.5;3
20181210 024100;2617.5;2617.5;2615.25;2615.5;8
20181210 024200;2615;2616.5;2615;2616.25;14
20181210 024400;2616.75;2616.75;2616.75;2616.75;1
20181210 024500;2616.25;2616.75;2616.25;2616.75;4
20181210 024600;2617;2617;2617;2617;1
20181210 024700;2617.5;2617.5;2617.5;2617.5;1
20181210 024900;2617;2617;2616.75;2616.75;6
20181210 025100;2618;2618.25;2618;2618.25;4
20181210 025200;2618;2618;2617.5;2617.5;2
20181210 025300;2617.5;2617.5;2617.5;2617.5;2
20181210 025400;2618.5;2619.5;2618.5;2619.5;8
